Accession code,Uniprot URL
P50750,https://www.uniprot.org/uniprot/P50750
Q00532,https://www.uniprot.org/uniprot/Q00532
Q92772,https://www.uniprot.org/uniprot/Q92772
Q8IVW4,https://www.uniprot.org/uniprot/Q8IVW4
Q5MAI5,https://www.uniprot.org/uniprot/Q5MAI5
O76039,https://www.uniprot.org/uniprot/O76039
P49759,https://www.uniprot.org/uniprot/P49759
P49760,https://www.uniprot.org/uniprot/P49760
P49761,https://www.uniprot.org/uniprot/P49761
Q9HAZ1,https://www.uniprot.org/uniprot/Q9HAZ1
Q13627,https://www.uniprot.org/uniprot/Q13627
Q9Y463,https://www.uniprot.org/uniprot/Q9Y463
Q92630,https://www.uniprot.org/uniprot/Q92630
O43781,https://www.uniprot.org/uniprot/O43781
Q9NR20,https://www.uniprot.org/uniprot/Q9NR20
P49840,https://www.uniprot.org/uniprot/P49840
P49841,https://www.uniprot.org/uniprot/P49841
Q86Z02,https://www.uniprot.org/uniprot/Q86Z02
Q9H2X6,https://www.uniprot.org/uniprot/Q9H2X6
Q9H422,https://www.uniprot.org/uniprot/Q9H422
Q8NE63,https://www.uniprot.org/uniprot/Q8NE63
Q9UPZ9,https://www.uniprot.org/uniprot/Q9UPZ9
P20794,https://www.uniprot.org/uniprot/P20794
P28482,https://www.uniprot.org/uniprot/P28482
P53779,https://www.uniprot.org/uniprot/P53779
Q15759,https://www.uniprot.org/uniprot/Q15759
P53778,https://www.uniprot.org/uniprot/P53778
O15264,https://www.uniprot.org/uniprot/O15264
Q16539,https://www.uniprot.org/uniprot/Q16539
Q8TD08,https://www.uniprot.org/uniprot/Q8TD08
P27361,https://www.uniprot.org/uniprot/P27361
P31152,https://www.uniprot.org/uniprot/P31152
Q16659,https://www.uniprot.org/uniprot/Q16659
Q13164,https://www.uniprot.org/uniprot/Q13164
P45983,https://www.uniprot.org/uniprot/P45983
P45984,https://www.uniprot.org/uniprot/P45984
Q9UQ07,https://www.uniprot.org/uniprot/Q9UQ07
Q9UBE8,https://www.uniprot.org/uniprot/Q9UBE8
Q13523,https://www.uniprot.org/uniprot/Q13523
Q96SB4,https://www.uniprot.org/uniprot/Q96SB4
P78362,https://www.uniprot.org/uniprot/P78362
Q9UPE1,https://www.uniprot.org/uniprot/Q9UPE1
Q96PY6,https://www.uniprot.org/uniprot/Q96PY6
Q6ZWH5,https://www.uniprot.org/uniprot/Q6ZWH5
Q8NG66,https://www.uniprot.org/uniprot/Q8NG66
P51955,https://www.uniprot.org/uniprot/P51955
P51956,https://www.uniprot.org/uniprot/P51956
P51957,https://www.uniprot.org/uniprot/P51957
Q6P3R8,https://www.uniprot.org/uniprot/Q6P3R8
Q9HC98,https://www.uniprot.org/uniprot/Q9HC98
Q8TDX7,https://www.uniprot.org/uniprot/Q8TDX7
Q86SG6,https://www.uniprot.org/uniprot/Q86SG6
Q8TD19,https://www.uniprot.org/uniprot/Q8TD19
P25092,https://www.uniprot.org/uniprot/P25092
Q02846,https://www.uniprot.org/uniprot/Q02846
P51841,https://www.uniprot.org/uniprot/P51841
P16066,https://www.uniprot.org/uniprot/P16066
P20594,https://www.uniprot.org/uniprot/P20594
Q02750,https://www.uniprot.org/uniprot/Q02750
P36507,https://www.uniprot.org/uniprot/P36507
P46734,https://www.uniprot.org/uniprot/P46734
P45985,https://www.uniprot.org/uniprot/P45985
Q13163,https://www.uniprot.org/uniprot/Q13163
P52564,https://www.uniprot.org/uniprot/P52564
O14733,https://www.uniprot.org/uniprot/O14733
Q13233,https://www.uniprot.org/uniprot/Q13233
Q02779,https://www.uniprot.org/uniprot/Q02779
Q16584,https://www.uniprot.org/uniprot/Q16584
Q12852,https://www.uniprot.org/uniprot/Q12852
O43283,https://www.uniprot.org/uniprot/O43283
Q99558,https://www.uniprot.org/uniprot/Q99558
Q6ZN16,https://www.uniprot.org/uniprot/Q6ZN16
Q56UN5,https://www.uniprot.org/uniprot/Q56UN5
