Accession code,Uniprot URL
Q9Y6W5,https://www.uniprot.org/uniprot/Q9Y6W5
O00170,https://www.uniprot.org/uniprot/O00170
O14958,https://www.uniprot.org/uniprot/O14958
Q15003,https://www.uniprot.org/uniprot/Q15003
Q9BSI4,https://www.uniprot.org/uniprot/Q9BSI4
P09629,https://www.uniprot.org/uniprot/P09629
P60983,https://www.uniprot.org/uniprot/P60983
P08195,https://www.uniprot.org/uniprot/P08195
Q06787,https://www.uniprot.org/uniprot/Q06787
Q9HA82,https://www.uniprot.org/uniprot/Q9HA82
Q14676,https://www.uniprot.org/uniprot/Q14676
P06127,https://www.uniprot.org/uniprot/P06127
P02649,https://www.uniprot.org/uniprot/P02649
Q13371,https://www.uniprot.org/uniprot/Q13371
P0DMV8,https://www.uniprot.org/uniprot/P0DMV8
Q6ZMG9,https://www.uniprot.org/uniprot/Q6ZMG9
P0DP23,https://www.uniprot.org/uniprot/P0DP23
Q08945,https://www.uniprot.org/uniprot/Q08945
Q03014,https://www.uniprot.org/uniprot/Q03014
Q14005,https://www.uniprot.org/uniprot/Q14005
Q9UER7,https://www.uniprot.org/uniprot/Q9UER7
Q14940,https://www.uniprot.org/uniprot/Q14940
P49810,https://www.uniprot.org/uniprot/P49810
O15266,https://www.uniprot.org/uniprot/O15266
Q9UHH9,https://www.uniprot.org/uniprot/Q9UHH9
P25963,https://www.uniprot.org/uniprot/P25963
P32121,https://www.uniprot.org/uniprot/P32121
P11387,https://www.uniprot.org/uniprot/P11387
Q96SB4,https://www.uniprot.org/uniprot/Q96SB4
O75925,https://www.uniprot.org/uniprot/O75925
Q9UKX2,https://www.uniprot.org/uniprot/Q9UKX2
Q96EB6,https://www.uniprot.org/uniprot/Q96EB6
P21673,https://www.uniprot.org/uniprot/P21673
P11388,https://www.uniprot.org/uniprot/P11388
P08833,https://www.uniprot.org/uniprot/P08833
P54252,https://www.uniprot.org/uniprot/P54252
P17936,https://www.uniprot.org/uniprot/P17936
Q9UQE7,https://www.uniprot.org/uniprot/Q9UQE7
P05455,https://www.uniprot.org/uniprot/P05455
P10242,https://www.uniprot.org/uniprot/P10242
Q13323,https://www.uniprot.org/uniprot/Q13323
P67870,https://www.uniprot.org/uniprot/P67870
P16220,https://www.uniprot.org/uniprot/P16220
Q9Y5B0,https://www.uniprot.org/uniprot/Q9Y5B0
P35579,https://www.uniprot.org/uniprot/P35579
Q9Y4R8,https://www.uniprot.org/uniprot/Q9Y4R8
Q9NYV6,https://www.uniprot.org/uniprot/Q9NYV6
P54252-1,https://www.uniprot.org/uniprot/P54252-1
Q96IZ0,https://www.uniprot.org/uniprot/Q96IZ0
Q00987,https://www.uniprot.org/uniprot/Q00987
Q9Y365,https://www.uniprot.org/uniprot/Q9Y365
P54274,https://www.uniprot.org/uniprot/P54274
O15259,https://www.uniprot.org/uniprot/O15259
P08238,https://www.uniprot.org/uniprot/P08238
O14950,https://www.uniprot.org/uniprot/O14950
P31749,https://www.uniprot.org/uniprot/P31749
P12821,https://www.uniprot.org/uniprot/P12821
P49736,https://www.uniprot.org/uniprot/P49736
P49427,https://www.uniprot.org/uniprot/P49427
P50895,https://www.uniprot.org/uniprot/P50895
Q8NE71,https://www.uniprot.org/uniprot/Q8NE71
P30203,https://www.uniprot.org/uniprot/P30203
P07900,https://www.uniprot.org/uniprot/P07900
O75822,https://www.uniprot.org/uniprot/O75822
P38398,https://www.uniprot.org/uniprot/P38398
P51946,https://www.uniprot.org/uniprot/P51946
Q92796-2,https://www.uniprot.org/uniprot/Q92796-2
Q13509,https://www.uniprot.org/uniprot/Q13509
Q04206,https://www.uniprot.org/uniprot/Q04206
O95905,https://www.uniprot.org/uniprot/O95905
P39687,https://www.uniprot.org/uniprot/P39687
P46531,https://www.uniprot.org/uniprot/P46531
Q8TAE8,https://www.uniprot.org/uniprot/Q8TAE8
P11717,https://www.uniprot.org/uniprot/P11717
P19447,https://www.uniprot.org/uniprot/P19447
Q92915,https://www.uniprot.org/uniprot/Q92915
Q16666,https://www.uniprot.org/uniprot/Q16666
Q15084,https://www.uniprot.org/uniprot/Q15084
P00736,https://www.uniprot.org/uniprot/P00736
P31751,https://www.uniprot.org/uniprot/P31751
Q9UJU2,https://www.uniprot.org/uniprot/Q9UJU2
P30622,https://www.uniprot.org/uniprot/P30622
P20042,https://www.uniprot.org/uniprot/P20042
Q712K3,https://www.uniprot.org/uniprot/Q712K3
P29692,https://www.uniprot.org/uniprot/P29692
P49418,https://www.uniprot.org/uniprot/P49418
P33527,https://www.uniprot.org/uniprot/P33527
P13569,https://www.uniprot.org/uniprot/P13569
O95477,https://www.uniprot.org/uniprot/O95477
P09958,https://www.uniprot.org/uniprot/P09958
P41208,https://www.uniprot.org/uniprot/P41208
O43852-15,https://www.uniprot.org/uniprot/O43852-15
P28482,https://www.uniprot.org/uniprot/P28482
P01106,https://www.uniprot.org/uniprot/P01106
P22736,https://www.uniprot.org/uniprot/P22736
Q9UBF6,https://www.uniprot.org/uniprot/Q9UBF6
Q96RL1,https://www.uniprot.org/uniprot/Q96RL1
Q01831,https://www.uniprot.org/uniprot/Q01831
P49716,https://www.uniprot.org/uniprot/P49716
