ID,CNumber,Target,Screen Conc(0.001),% Activity Remaining,Standard Deviation,Screen Conc(0.01),% Activity Remaining.1,Standard Deviation.1,Screen Conc(0.1),% Activity Remaining.2,Standard Deviation.2,Screen Conc(0.1-1.0),% Activity Remaining.3,Standard Deviation.3,Screen Conc(1.0),% Activity Remaining.4,Standard Deviation.4,Screen Conc(1.0-5.0),% Activity Remaining.5,Standard Deviation.5,Screen Conc(5.0-10.0),% Activity Remaining.6,Standard Deviation.6,Screen Conc(10.0),% Activity Remaining.7,Standard Deviation.7,Screen Conc(10.0-25.0),% Activity Remaining.8,Standard Deviation.8,Screen Conc(25.0),% Activity Remaining.9,Standard Deviation.9,Screen Conc(25.0-50.0),% Activity Remaining.10,Standard Deviation.10,Screen Conc(50.0),% Activity Remaining.11,Standard Deviation.11,Screen Conc(100.0),% Activity Remaining.12,Standard Deviation.12,Screen Conc(>100.0),% Activity Remaining.13,Standard Deviation.13
54,177.0,PKC zeta ,,,,,,,0.1,105,1,,,,1.0,99,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,177.0,Q15139,,,,,,,0.1,71,6,,,,1.0,31,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,177.0,Q9BYT3,,,,,,,0.1,120,13,,,,1.0,85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,177.0,P05556,,,,,,,0.1,107,25,,,,1.0,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,177.0,Q9BUB5,,,,,,,0.1,55,0,,,,1.0,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,177.0,Q9HBH9,,,,,,,0.1,41,3,,,,1.0,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,177.0,MAPKAP-K2 ,,,,,,,0.1,124,4,,,,1.0,79,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,177.0,Q16644,,,,,,,0.1,113,18,,,,1.0,94,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,177.0,Q8IW41,,,,,,,0.1,66,7,,,,1.0,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,177.0,CAMKK beta ,,,,,,,0.1,87,4,,,,1.0,57,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,177.0,Q8IU85,,,,,,,0.1,88,2,,,,1.0,105,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,177.0,SmMLCK,,,,,,,0.1,108,4,,,,1.0,80,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,177.0,O60285,,,,,,,0.1,100,2,,,,1.0,89,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,177.0,P53355,,,,,,,0.1,108,1,,,,1.0,94,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,177.0,O14757,,,,,,,0.1,114,13,,,,1.0,92,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,177.0,O96017,,,,,,,0.1,110,1,,,,1.0,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,177.0,GSK3 beta ,,,,,,,0.1,102,13,,,,1.0,74,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,177.0,CDK2-Cyclin A,,,,,,,0.1,119,7,,,,1.0,88,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,177.0,P53350,,,,,,,0.1,103,1,,,,1.0,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,177.0,Aurora A,,,,,,,0.1,106,20,,,,1.0,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,177.0,Aurora B,,,,,,,0.1,94,1,,,,1.0,74,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,177.0,Q15831,,,,,,,0.1,138,6,,,,1.0,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,177.0,Q9Y478,,,,,,,0.1,100,7,,,,1.0,92,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,177.0,Q9P0L2,,,,,,,0.1,112,16,,,,1.0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,177.0,Q7KZI7,,,,,,,0.1,109,1,,,,1.0,114,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,177.0,P27448,,,,,,,0.1,116,11,,,,1.0,77,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,177.0,Q96L34,,,,,,,0.1,107,1,,,,1.0,86,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,177.0,Q8TDC3,,,,,,,0.1,113,12,,,,1.0,90,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,177.0,Q8IWQ3,,,,,,,0.1,84,11,,,,1.0,88,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
